@relation dataset

@attribute Localisation {'Mozart à              Tanger','Moujahidine à              Tanger','Malabata à              Tanger',Tanger,'Centre à              Tanger','Administratif à              Tanger','Iberie à              Tanger','Boukhalef à              Tanger','Marjane à              Tanger','Msala à              Tanger','Zouitina à              Tanger','Route Nationale Assilah (N1) à              Tanger','Castilla à              Tanger','Tanger City Center à              Tanger','De La Plage à              Tanger','Jbel Kbir à              Tanger','Bella Vista à              Tanger','Ennasr à              Tanger','El Majd à              Tanger','Rmilat à              Tanger','Aouama Gharbia à              Tanger','Mesnana à              Tanger','Médina à              Tanger','Casabarata à              Tanger','Achakar à              Tanger','Californie à              Tanger','Marchan à              Tanger','Bel Air - Val fleuri à              Tanger','Beni Said à              Tanger','Jirrari à              Tanger','Aharrarine à              Tanger','Tanja Balia à              Tanger','Mghogha à              Tanger','Laaouina à              Tanger','Branes 2 à              Tanger','Charf à              Tanger','manar à              Tanger','Tanger Medina à              Tanger','Charf Mghougha à              Tanger','Du Golf à              Tanger','Hay Hassani à              Tanger','Nzaha à              Tanger','Ahlane à              Tanger','Lalla Chafia à              Tanger','Ain El Hayani à              Tanger','Zone Industrielle Mghogha à              Tanger','Cap Spartel à              Tanger','Hay Zaoudia à              Tanger','Drissia à              Tanger','Branes 1 à              Tanger','Al Warda à              Tanger','Hanaa 3 - Soussi à              Tanger','Beni Touzine à              Tanger','Zemmouri à              Tanger','Achennad à              Tanger','Port Tanger ville à              Tanger','Dher Lahmam à              Tanger','El Mers 1 à              Tanger','Al Anbar à              Tanger','Azib Haj Kaddour à              Tanger','Gourziana à              Tanger','Draoua à              Tanger','El Baraka à              Tanger','Sania à              Tanger','Star Hill à              Tanger','Charf Souani à              Tanger'}
@attribute Price numeric
@attribute Size numeric

@data
'Mozart à              Tanger',5700,85
'Malabata à              Tanger',9000,130
'Mozart à              Tanger',4700,70
'Jbel Kbir à              Tanger',27000,265
'De La Plage à              Tanger',6000,65
'De La Plage à              Tanger',9500,130
'El Majd à              Tanger',650000,88
'Castilla à              Tanger',4500,94
Tanger,11000,85
'Marchan à              Tanger',5000,100
Tanger,11000,85
'Mesnana à              Tanger',3000,63
'Malabata à              Tanger',6000,135
'Iberie à              Tanger',12000,21
'Administratif à              Tanger',6000,157
'Iberie à              Tanger',6500,127
'Casabarata à              Tanger',4500,83
'Castilla à              Tanger',6500,157
'Bella Vista à              Tanger',20000,500
'Beni Said à              Tanger',1700,58
'Administratif à              Tanger',3800,90
'Boukhalef à              Tanger',3500,60
'Mesnana à              Tanger',2800,80
'Malabata à              Tanger',13000,129
'Jirrari à              Tanger',250,55
'Iberie à              Tanger',12000,150
'Mozart à              Tanger',5500,110
'Mozart à              Tanger',1370000,114
'Centre à              Tanger',6000,115
'Centre à              Tanger',7000,15
'Centre à              Tanger',7500,11
'Centre à              Tanger',6000,11
'Centre à              Tanger',6000,11
'Centre à              Tanger',4000,105
'Centre à              Tanger',6500,12
'Centre à              Tanger',5700,11
'Centre à              Tanger',7500,15
'Centre à              Tanger',7500,100
'Aharrarine à              Tanger',5200,130
'Tanja Balia à              Tanger',4000,64
'Centre à              Tanger',5000,100
'Centre à              Tanger',8500,120
'Centre à              Tanger',11000,60
'Centre à              Tanger',5500,120
'Iberie à              Tanger',15000,160
'Iberie à              Tanger',17000,200
'Administratif à              Tanger',8000,125
'Moujahidine à              Tanger',3200,85
'Boukhalef à              Tanger',1900,60
'Iberie à              Tanger',12000,138
'Centre à              Tanger',250,70
'Centre à              Tanger',250,70
'Tanger City Center à              Tanger',3700,50
'Mghogha à              Tanger',4700,150
'Administratif à              Tanger',4000,100
'Iberie à              Tanger',15000,140
'Mozart à              Tanger',7000,85
'Administratif à              Tanger',6500,112
'Malabata à              Tanger',7000,102
'Centre à              Tanger',8500,170
'Centre à              Tanger',5800,89
'Malabata à              Tanger',14000,90
'Moujahidine à              Tanger',10000,160
'Marchan à              Tanger',6500,122
'Administratif à              Tanger',8300,90
'Administratif à              Tanger',6500,120
'Centre à              Tanger',10000,110
'Centre à              Tanger',13000,130
'Centre à              Tanger',12000,160
'Malabata à              Tanger',11000,90
'Iberie à              Tanger',9000,160
'De La Plage à              Tanger',6000,90
'Tanger City Center à              Tanger',9000,80
'Tanger City Center à              Tanger',7000,80
'Laaouina à              Tanger',4500,80
'Mesnana à              Tanger',250,60
'De La Plage à              Tanger',18000,800
'Jbel Kbir à              Tanger',25000,300
'Malabata à              Tanger',10000,130
'Médina à              Tanger',4500,75
'Centre à              Tanger',6500,115
'Tanja Balia à              Tanger',8000,150
'Centre à              Tanger',8000,175
'Iberie à              Tanger',6500,127
'Tanger City Center à              Tanger',8500,70
'Iberie à              Tanger',9000,180
'Malabata à              Tanger',8500,100
'Malabata à              Tanger',8500,100
Tanger,7200,108
'De La Plage à              Tanger',9000,100
'De La Plage à              Tanger',15000,150
'Centre à              Tanger',8500,100
'De La Plage à              Tanger',10000,150
'Mozart à              Tanger',7500,100
'Mozart à              Tanger',6500,150
'Mozart à              Tanger',4500,50
'Centre à              Tanger',4500,50
'Tanger City Center à              Tanger',7500,70
'Branes 2 à              Tanger',2200,48
'Centre à              Tanger',6000,180
'De La Plage à              Tanger',7500,110
'Marjane à              Tanger',4000,80
'De La Plage à              Tanger',4500,46
'Tanger City Center à              Tanger',8000,89
'Bella Vista à              Tanger',12000,102
'Bella Vista à              Tanger',6000,82
'Bella Vista à              Tanger',6000,90
'Moujahidine à              Tanger',4500,120
'Centre à              Tanger',4200,111
'Malabata à              Tanger',4800,65
'Mozart à              Tanger',6000,130
'Mozart à              Tanger',7500,135
'Boukhalef à              Tanger',2500,60
'Iberie à              Tanger',3200,35
'Boukhalef à              Tanger',3000,60
